Genus	H	NL	L2l	w2l	StD	NF	IL	iaxL	BrL 	Brw	OvL	SlaL	Slaw	PetL	Petw	LipL	LlalL	LmlL	Lipw	Lmlw	SpL	SpD
Anacamptis	15.10	11.00	3.65	1.00	3.70	8.00	4.85	2.40	11.20	4.40	14.50	9.30	4.50	6.80	2.50	9.20	8.00	2.50	16.20	7.50	10.90	1.90
Anacamptis	21.20	12.00	4.65	1.30	4.80	11.00	6.40	2.45	14.60	5.70	17.70	11.60	6.00	7.90	3.90	10.90	9.70	4.00	18.30	6.90	10.40	2.40
Anacamptis	28.60	10.00	5.45	1.30	2.70	10.00	5.20	1.90	11.80	4.00	13.80	7.40	3.60	6.30	2.00	6.30	5.90	1.50	11.90	5.20	10.40	1.90
Anacamptis	23.60	11.00	5.00	1.25	3.70	15.00	5.95	1.55	17.50	4.20	13.60	11.60	4.80	8.00	2.30	9.60	7.70	3.40	17.20	8.10	14.30	2.30
Anacamptis	22.80	7.00	5.00	0.62	2.50	5.00	4.30	3.12	9.30	2.80	11.80	8.20	4.20	5.50	2.50	7.70	8.80	1.30	17.10	8.00	11.70	2.30
Anacamptis	31.00	10.00	5.00	0.95	3.80	12.00	8.70	3.40	10.40	4.70	15.30	9.10	5.30	6.50	2.70	8.20	8.00	1.60	20.20	7.50	13.80	2.70
Anacamptis	19.80	7.00	5.70	0.85	2.10	6.00	6.90	4.40	9.80	3.80	12.40	8.30	4.20	5.90	2.40	9.00	7.60	1.90	14.20	8.80	9.90	1.80
Anacamptis	21.90	9.00	4.75	0.75	2.40	8.00	5.40	3.00	10.40	4.30	10.60	7.90	4.60	5.40	2.30	7.40	7.60	1.10	14.80	6.60	11.60	2.30
Anacamptis	21.70	7.00	4.80	0.80	2.10	6.00	5.50	3.90	10.20	4.00	12.70	7.50	4.60	5.80	2.30	8.30	7.80	1.60	14.80	7.00	10.50	2.30
Anacamptis	19.80	8.00	5.20	0.72	2.00	6.00	4.75	3.00	9.70	3.70	12.80	7.50	4.00	5.30	2.00	7.10	8.90	1.30	15.60	5.60	11.50	1.90
Anacamptis	15.70	6.00	4.90	0.58	1.90	5.00	4.18	3.47	8.50	2.80	8.20	7.10	3.60	5.10	2.10	7.30	6.60	2.80	13.70	5.80	9.90	1.70
Anacamptis	29.90	9.00	6.70	1.25	3.20	10.00	6.70	3.15	12.60	4.20	12.90	9.30	4.40	6.10	2.50	6.10	6.80	1.40	15.00	5.70	12.60	2.40
Anacamptis	14.70	7.00	6.25	0.95	1.90	5.00	2.65	1.80	12.50	2.90	10.90	8.80	4.00	6.70	1.70	7.10	5.90	1.30	12.40	7.80	10.00	2.60
Anacamptis	20.20	8.00	6.45	0.95	2.10	7.00	4.65	2.30	12.30	3.80	12.70	8.50	3.80	5.90	1.90	6.00	6.00	0.70	12.80	6.20	12.30	2.00
Anacamptis	21.30	7.00	7.60	1.15	2.30	5.00	4.25	3.00	14.30	3.60	10.90	9.10	4.00	6.90	2.30	6.80	6.70	0.60	13.30	7.30	10.00	2.60
Anacamptis	30.20	11.00	7.25	1.50	3.00	8.00	5.20	2.60	15.90	4.70	12.40	10.30	4.90	7.70	2.50	8.20	7.60	2.10	16.30	8.60	13.90	2.80
Anacamptis	22.10	9.00	5.45	1.05	2.10	6.00	4.40	2.55	12.50	3.00	11.50	10.00	4.60	7.10	2.20	8.80	6.70	3.10	15.70	8.60	10.10	2.20
Anacamptis	21.70	8.00	7.45	1.20	2.10	6.00	3.45	1.95	13.00	3.50	12.10	7.80	3.70	6.30	1.60	7.80	5.90	2.90	13.80	6.80	10.10	2.40
